id_imovel,id_regiao,metragem,quartos,banheiros,ano_entrega,valor_inicial
1,1,61,3,1,2011,84340
2,1,68,2,2,2014,89338
3,1,90,2,2,2015,89912
4,1,51,3,1,2010,84400
5,1,80,3,2,2014,85093
6,1,58,2,2,2014,91235
7,1,76,2,1,2015,88228
8,1,72,2,1,2012,89066
9,1,53,2,2,2014,88583
10,1,90,2,1,2010,94014
11,1,89,2,2,2014,84884
12,1,80,3,1,2010,84852
13,1,64,2,2,2011,91948
14,1,88,2,2,2014,88176
15,1,71,2,1,2011,85064
16,1,71,2,2,2013,80812
17,1,87,3,1,2015,88131
18,1,51,2,2,2011,92535
19,1,57,3,2,2011,95083
20,1,59,2,2,2012,80775
21,1,62,3,2,2015,82274
22,1,77,3,1,2010,93096
23,1,61,3,1,2010,85851
24,1,83,3,2,2013,94239
25,1,83,2,2,2014,96758
26,1,57,2,2,2010,88346
27,1,78,2,2,2013,97643
28,1,49,3,1,2015,90819
29,1,64,3,2,2012,96617
30,1,70,2,1,2013,89688
31,1,87,2,2,2013,92423
32,1,80,3,2,2011,80013
33,1,72,3,2,2013,99004
34,1,73,3,1,2015,87002
35,1,50,3,1,2011,89299
36,1,88,2,1,2011,90171
37,1,46,2,2,2014,81514
38,1,49,3,1,2015,94923
39,1,89,3,2,2011,92582
40,1,54,2,2,2011,80181
41,1,56,3,1,2014,96972
42,1,60,3,1,2013,83976
43,1,87,3,2,2014,97404
44,1,77,3,1,2015,93983
45,1,75,3,1,2015,94747
46,1,62,3,1,2012,97081
47,1,73,3,1,2012,82538
48,1,66,2,1,2011,90476
49,1,59,2,1,2010,92551
50,1,71,3,2,2013,93356
51,1,48,3,2,2014,86777
52,1,89,3,2,2010,80640
53,1,67,3,2,2014,89784
54,1,79,2,2,2011,99767
55,1,62,3,1,2013,94281
56,1,66,2,2,2011,93248
57,1,84,2,2,2014,97502
58,1,81,2,2,2011,80888
59,1,74,2,2,2013,85954
60,1,65,3,2,2012,86935
61,1,69,3,2,2010,89117
62,1,75,2,2,2011,80635
63,1,86,2,1,2011,82248
64,1,57,2,1,2011,80667
65,1,75,2,2,2015,83748
66,1,61,2,1,2011,92087
67,1,64,2,2,2014,83542
68,1,88,3,1,2010,92298
69,1,82,2,2,2015,87957
70,1,83,2,2,2014,83966
71,1,72,2,2,2010,92142
72,1,71,2,2,2012,96062
73,1,85,2,2,2011,95064
74,1,78,3,2,2013,88850
75,1,82,3,1,2010,88794
76,1,62,2,2,2014,94771
77,1,84,3,1,2013,92418
78,1,65,3,1,2012,85958
79,1,61,3,2,2014,91152
80,1,45,2,1,2011,96928
81,1,71,2,2,2015,96009
82,1,90,3,1,2010,96083
83,1,63,3,1,2012,87261
84,1,87,3,2,2014,99056
85,1,78,3,2,2012,91264
86,1,89,3,2,2012,94868
87,1,59,2,2,2010,83953
88,1,79,2,1,2015,86066
89,1,75,3,1,2011,89060
90,1,63,3,1,2012,87454
91,1,45,2,2,2010,97502
