id_regiao,nome_regiao,indice_desenvolvimento
1,asa sul,0.7623620356542088
2,asa norte,0.9352142919229748
3,aguas claras,0.8695981825434215
4,lago norte,0.829597545259111
5,taguatinga,0.696805592132731
6,areal,0.6967983561008608
7,sudoeste,0.6674250836504598
8,guara ii,0.9098528437324805
9,ceilandia,0.8303345035229626
10,samambaia,0.8624217733388136
11,park sul,0.6561753482887408
12,cruzeiro,0.9409729556485982
13,noroeste,0.8997327922401265
14,riacho fundo,0.7137017332034828
15,sobradinho,0.7045474901621303
16,nucleo bandeirante,0.7050213529560302
17,jardim botanico,0.7412726728878614
18,lago sul,0.8074269294896713
19,vicente pires,0.7795835055926348
20,guara i,0.7373687420594126
21,santa maria,0.8335558684167138
22,lucio costa,0.6918481581956125
23,paranoa,0.7376433945605655
24,recanto das emas,0.7599085529881076
25,candangolandia,0.7868209952651107
26,park way,0.8855527884179041
27,octogonal,0.709902134647508
28,gama,0.8042703315240834
29,mangueiral,0.8277243706586127
